Month	GSI
5	0.1938
4	0.1935
3	0.1893
3	0.1892
3	0.1887
3	0.1875
2	0.1859
4	0.1847
3	0.1842
2	0.1827
4	0.1815
1	0.1792
3	0.1782
5	0.1775
5	0.175
4	0.1714
4	0.1681
5	0.1681
4	0.1664
1	0.1661
2	0.1657
2	0.1654
3	0.164
2	0.1621
4	0.162
1	0.1618
2	0.1611
2	0.1589
3	0.1569
2	0.1555
2	0.1549
1	0.1543
1	0.1541
3	0.1516
6	0.1504
4	0.1503
5	0.1497
3	0.1492
1	0.149
3	0.1473
2	0.1472
2	0.1466
3	0.1465
3	0.1436
5	0.1433
3	0.1415
3	0.1412
2	0.1405
2	0.1402
2	0.1401
2	0.14
3	0.1399
5	0.1398
2	0.1395
2	0.1392
2	0.139
1	0.1379
3	0.137
5	0.1352
3	0.1347
2	0.1346
2	0.1344
1	0.134
3	0.1337
4	0.1336
1	0.133
4	0.132
6	0.1319
3	0.1318
1	0.1316
1	0.1307
3	0.1298
3	0.127
2	0.1261
2	0.1261
2	0.1239
2	0.1218
2	0.1218
3	0.1212
3	0.1205
3	0.1201
4	0.1191
3	0.1186
2	0.1181
1	0.1177
1	0.1169
1	0.1162
2	0.1121
3	0.11
4	0.1079
1	0.1069
1	0.1069
3	0.1067
3	0.1066
1	0.1061
4	0.1048
2	0.1025
2	0.1014
3	0.1006
1	0.0987
1	0.0969
4	0.0966
2	0.0941
3	0.0934
2	0.0929
2	0.0928
1	0.0922
1	0.0921
2	0.0916
2	0.0907
1	0.0903
3	0.0899
1	0.0888
4	0.0882
2	0.0881
2	0.0877
1	0.0873
1	0.0866
2	0.0835
2	0.0827
2	0.0817
2	0.0817
1	0.0812
2	0.0812
1	0.0803
2	0.0799
1	0.079
4	0.0784
2	0.0775
3	0.0774
1	0.0765
3	0.0758
1	0.0738
2	0.0732
3	0.0725
3	0.0725
5	0.0723
1	0.0711
4	0.0706
2	0.0705
3	0.0703
3	0.0669
1	0.0667
1	0.0659
1	0.0647
1	0.0634
1	0.0631
3	0.0616
5	0.0613
4	0.0602
2	0.0594
2	0.0592
2	0.0583
2	0.0554
1	0.0553
3	0.0536
2	0.053
1	0.0526
3	0.0524
3	0.0503
2	0.05
5	0.05
1	0.0488
1	0.0478
2	0.0476
1	0.047
4	0.0456
4	0.0423
1	0.0419
6	0.0411
4	0.041
1	0.0408
1	0.0378
1	0.0375
2	0.0362
1	0.0334
1	0.0319
1	0.0276
1	0.0258
3	0.0239
4	0.0218
2	0.019
6	0.0167
5	0.0131
10	14.6
8	13.3074
10	11.225
11	11.1708
10	10.7293
12	10.6573
11	10.6325
11	10.59
11	10.4276
11	10.2038
10	10.1988
9	10.1976
10	10.1789
11	10.1307
11	10.1166
12	10.0938
11	10.0905
11	10.0262
11	9.972
11	9.93
8	9.9144
10	9.7788
11	9.7327
12	9.7176
11	9.7035
11	9.6587
11	9.4322
9	9.3054
9	9.2767
10	9.2433
9	9.1313
11	9.0969
10	9.0965
12	9.0909
10	9.0322
10	9.0079
11	8.9569
8	8.9543
10	8.9538
10	8.9294
10	8.9104
1	8.9062
11	8.8865
8	8.879
10	8.8491
9	8.8315
9	8.8053
7	8.8048
10	8.8013
9	8.7673
10	8.7549
9	8.7542
9	8.7367
10	8.7097
11	8.664
10	8.6215
11	8.6
9	8.5628
8	8.5152
9	8.5134
11	8.4985
10	8.4758
11	8.4266
10	8.4189
10	8.4173
9	8.3025
11	8.2971
10	8.2877
10	8.2424
10	8.2401
9	8.1204
10	8.0685
12	8.0288
8	8.0225
11	8.0076
10	7.945
10	7.9392
8	7.9077
8	7.9034
8	7.8582
11	7.8447
8	7.8097
9	7.7826
10	7.7584
8	7.7181
8	7.678
9	7.6166
8	7.604
9	7.5614
10	7.5339
10	7.5299
7	7.5255
4	7.5117
8	7.5004
7	7.4852
8	7.4599
8	7.4558
8	7.4291
9	7.4249
9	7.4224
9	7.4135
11	7.4016
9	7.3868
11	7.3199
10	7.2993
9	7.2794
9	7.2709
8	7.2448
8	7.1947
7	7.1582
11	7.1026
5	7.0812
8	7.0273
7	7.0265
11	7.0214
7	6.9979
5	6.9136
11	6.9135
4	6.911
8	6.9016
9	6.8942
8	6.8237
9	6.7927
9	6.7219
9	6.711
6	6.7063
8	6.6955
7	6.6588
8	6.6495
6	6.5806
6	6.5679
8	6.5431
8	6.4971
7	6.4719
7	6.4449
7	6.3901
7	6.383
8	6.3081
7	6.3078
7	6.2636
6	6.2545
7	6.2097
5	6.1898
4	6.1536
7	6.152
8	6.139
9	6.1292
6	6.1186
9	6.0948
11	6.0284
7	6.0248
7	6.0235
7	6.0143
7	6.0088
4	5.9291
8	5.9063
7	5.8643
6	5.8346
7	5.8089
8	5.7561
7	5.7408
7	5.7189
7	5.7174
4	5.6927
7	5.6646
7	5.6126
7	5.5757
5	5.5693
11	5.5599
11	5.5434
9	5.5
6	5.485
4	5.4841
8	5.4529
5	5.4476
7	5.4454
8	5.4329
11	5.4161
5	5.4065
7	5.3348
4	5.3312
6	5.3281
7	5.32
7	5.2834
5	5.282
6	5.2475
7	5.2422
5	5.189
4	5.1216
6	5.0929
4	5.0718
7	5.0496
11	5.0368
4	5.0271
7	4.9942
7	4.9345
4	4.9102
6	4.9
7	4.8643
6	4.8603
6	4.8378
4	4.7322
7	4.7244
4	4.7208
6	4.6941
4	4.6708
4	4.6544
4	4.5635
5	4.5419
6	4.437
7	4.4284
7	4.4048
5	4.3976
5	4.347
5	4.3077
4	4.2684
5	4.2373
10	4.2144
6	4.2037
11	4.1906
6	4.128
5	4.0954
6	4.0436
4	3.9318
6	3.8958
11	3.8598
6	3.8577
9	3.804
4	3.7853
4	3.7213
4	3.5885
6	3.5856
8	3.5826
6	3.5465
5	3.5327
5	3.4815
6	3.4803
4	3.4779
6	3.4387
8	3.3895
8	3.3839
8	3.3324
6	3.2799
4	3.2536
6	3.2492
6	3.2383
8	3.2333
11	3.2161
8	3.1991
5	3.1264
11	3.1242
5	3.1201
4	3.0638
10	3.0116
8	2.9792
6	2.9623
6	2.9531
8	2.9504
5	2.9428
6	2.8932
5	2.893
6	2.8892
6	2.865
7	2.8257
6	2.8067
8	2.7965
5	2.7759
5	2.7649
5	2.7588
8	2.7189
11	2.7134
6	2.7084
4	2.7035
5	2.7023
6	2.6864
4	2.6559
6	2.6494
8	2.6463
5	2.6269
10	2.6265
7	2.603
9	2.5842
12	2.569
8	2.568
8	2.555
5	2.5483
9	2.5396
5	2.521
11	2.502
7	2.496
5	2.4848
10	2.4796
7	2.4732
6	2.4703
6	2.4701
4	2.436
5	2.4307
12	2.4254
6	2.4221
4	2.4193
4	2.4151
2	2.4094
6	2.409
7	2.4
4	2.4
9	2.3826
10	2.3697
5	2.3689
5	2.3632
7	2.3571
10	2.3504
7	2.3484
9	2.3468
9	2.3456
7	2.3423
6	2.3414
8	2.329
4	2.3209
7	2.3194
4	2.319
4	2.3173
4	2.3154
10	2.3117
6	2.2992
5	2.29
6	2.289
5	2.2888
7	2.2852
4	2.2779
10	2.272
5	2.2706
6	2.2665
5	2.255
10	2.252
7	2.251
5	2.2506
5	2.2494
4	2.2451
4	2.2393
11	2.2375
6	2.2339
5	2.2302
6	2.2302
6	2.2294
4	2.2184
6	2.2135
12	2.2048
10	2.1835
6	2.1727
4	2.1721
4	2.1643
5	2.1564
7	2.1554
4	2.1478
5	2.1454
11	2.1439
7	2.1304
10	2.1282
1	2.1271
4	2.1256
6	2.1238
11	2.1196
7	2.1129
6	2.1115
5	2.1114
6	2.1047
7	2.1038
7	2.0966
9	2.0756
8	2.0749
4	2.0739
11	2.0737
7	2.0617
6	2.0602
8	2.0575
8	2.0431
6	2.0397
4	2.0371
5	2.0327
7	2.0273
5	2.0221
10	2.0191
9	2.0055
5	1.9916
5	1.9895
12	1.9881
10	1.9869
7	1.9832
6	1.9804
8	1.9753
3	1.9749
4	1.9736
7	1.9686
5	1.9477
5	1.9355
4	1.9303
6	1.9168
7	1.9115
5	1.9009
7	1.8922
10	1.8892
8	1.8816
8	1.8812
4	1.8762
9	1.8723
10	1.8715
5	1.8639
8	1.8637
3	1.858
8	1.8573
11	1.8508
12	1.8493
4	1.8493
4	1.849
4	1.8437
7	1.8413
6	1.841
12	1.8365
5	1.8358
1	1.8265
6	1.8201
6	1.8173
7	1.8169
7	1.8149
9	1.8121
5	1.8105
12	1.8052
7	1.8042
7	1.7939
2	1.7916
6	1.783
9	1.7814
9	1.7798
10	1.7679
6	1.7654
11	1.7638
7	1.7584
8	1.7573
5	1.7569
9	1.7565
10	1.7509
3	1.7441
12	1.7403
4	1.7374
5	1.7279
8	1.725
8	1.7231
4	1.7095
4	1.7088
5	1.6981
5	1.6972
4	1.6887
4	1.6842
10	1.6798
7	1.6773
6	1.6757
4	1.6756
4	1.6677
10	1.6665
9	1.6569
6	1.647
6	1.6434
6	1.6369
4	1.6362
8	1.6339
4	1.6271
4	1.6181
4	1.6029
8	1.6019
10	1.598
3	1.5924
7	1.5875
3	1.5849
5	1.5675
8	1.5648
4	1.5648
4	1.5572
10	1.5565
4	1.556
8	1.5558
10	1.5537
4	1.5511
11	1.5495
7	1.5489
6	1.5076
4	1.5064
1	1.496
5	1.4882
7	1.4822
5	1.4806
6	1.4774
11	1.4619
4	1.4616
5	1.4599
9	1.4595
5	1.4593
9	1.4565
4	1.4526
8	1.4433
6	1.4415
6	1.4373
4	1.436
5	1.4353
8	1.4274
4	1.4265
7	1.425
6	1.4226
6	1.4199
4	1.4111
4	1.4027
9	1.378
4	1.3639
9	1.356
3	1.354
1	1.3431
4	1.3344
6	1.3344
6	1.3301
8	1.3296
4	1.3225
10	1.317
6	1.3024
4	1.2938
6	1.2921
3	1.2878
9	1.2746
11	1.274
4	1.2738
9	1.2643
9	1.2627
10	1.2578
10	1.2577
4	1.2571
4	1.2553
4	1.2548
4	1.245
11	1.2433
4	1.2388
9	1.2372
9	1.2295
9	1.2277
2	1.2256
9	1.2184
4	1.216
4	1.2039
10	1.2014
4	1.1938
2	1.1826
2	1.1799
4	1.1797
6	1.1776
3	1.1711
9	1.1705
6	1.1677
6	1.1673
4	1.1665
6	1.1631
10	1.1624
11	1.155
4	1.1547
11	1.1529
7	1.1433
4	1.1393
3	1.1351
7	1.1335
11	1.1237
4	1.1199
11	1.1186
12	1.1177
6	1.1131
3	1.1111
3	1.1053
7	1.1043
4	1.103
9	1.0943
4	1.0943
10	1.0929
6	1.0818
11	1.0801
5	1.0789
2	1.0759
4	1.0759
4	1.0696
3	1.064
10	1.0596
4	1.0578
4	1.0506
12	1.0487
4	1.0471
3	1.0435
6	1.0383
4	1.0367
6	1.0294
4	1.0289
6	1.0276
11	1.0243
5	1.0235
11	1.0145
9	1.013
4	1.011
11	1.0107
5	1.0088
10	0.9991
6	0.9986
12	0.9977
6	0.992
3	0.9918
5	0.9915
9	0.9908
4	0.9846
4	0.9758
2	0.962
10	0.9583
4	0.9526
4	0.9499
4	0.9294
5	0.9201
1	0.9166
3	0.9153
4	0.8961
5	0.8961
6	0.8584
3	0.841
6	0.8253
3	0.8204
3	0.8064
11	0.7983
9	0.7933
3	0.7722
4	0.7632
9	0.7569
11	0.7479
8	0.745
5	0.7442
3	0.7414
9	0.7256
3	0.7246
6	0.7237
10	0.706
11	0.7031
11	0.7012
3	0.6856
1	0.6775
3	0.6741
5	0.6481
4	0.6469
5	0.6398
4	0.6319
4	0.6051
6	0.5946
1	0.59
2	0.5779
5	0.5617
4	0.5579
3	0.5571
4	0.5507
11	0.5198
11	0.4952
4	0.4789
1	0.4755
11	0.4654
2	0.4619
2	0.4525
4	0.4449
4	0.444
4	0.4333
6	0.4325
3	0.4323
3	0.4299
4	0.4282
1	0.4234
2	0.4078
2	0.4056
11	0.3999
5	0.3977
12	0.397
4	0.3957
1	0.3948
4	0.3879
4	0.3872
4	0.3858
4	0.3855
6	0.3842
2	0.3797
6	0.3643
4	0.3642
5	0.3641
4	0.3628
3	0.3584
4	0.3551
3	0.3417
4	0.3313
2	0.3307
4	0.3081
12	0.3079
4	0.3067
4	0.3028
4	0.296
4	0.2952
6	0.2948
4	0.2937
3	0.2883
4	0.2853
4	0.2812
4	0.2807
3	0.2788
4	0.2775
7	0.2771
4	0.2691
4	0.2678
3	0.2566
6	0.2561
4	0.2557
4	0.2491
2	0.2484
3	0.247
11	0.2464
4	0.2445
4	0.2418
3	0.2389
4	0.237
3	0.2333
3	0.2327
4	0.2319
1	0.2306
2	0.2304
3	0.228
3	0.2267
2	0.2231
3	0.2229
4	0.222
4	0.2209
2	0.2163
1	0.2156
4	0.2154
4	0.2153
10	0.2151
4	0.2139
4	0.2124
4	0.2121
1	0.2089
1	0.2088
3	0.2059
4	0.2041
4	0.2033
3	0.2018
2	0.2002
2	0.2
4	0.1984
1	0.1975
3	0.1968
1	0.1967
4	0.1955
4	0.1934
4	0.1915
4	0.1912
1	0.1906
4	0.1898
4	0.1873
4	0.187
2	0.1869
3	0.1865
3	0.1853
4	0.1848
4	0.1841
10	0.1813
4	0.1811
4	0.1809
4	0.1805
4	0.1796
4	0.1782
3	0.1775
4	0.1755
12	0.175
4	0.1735
4	0.1723
4	0.172
12	0.1717
2	0.1708
3	0.1695
1	0.1682
2	0.1679
4	0.1658
2	0.1639
2	0.1633
2	0.163
4	0.1628
4	0.1608
2	0.1607
1	0.1602
4	0.1593
4	0.1564
4	0.1563
12	0.1562
3	0.1561
4	0.155
1	0.1522
3	0.1511
2	0.1495
4	0.1495
4	0.1489
4	0.1489
3	0.1481
1	0.1439
3	0.1406
4	0.14
4	0.1396
4	0.1393
1	0.1392
2	0.1383
1	0.1374
12	0.1367
4	0.1367
4	0.1365
3	0.1359
4	0.1356
3	0.1351
4	0.1349
4	0.1341
12	0.129
1	0.1282
4	0.1274
1	0.1258
1	0.1255
3	0.1251
12	0.1244
1	0.124
4	0.123
2	0.12
4	0.12
1	0.1197
4	0.119
12	0.1179
3	0.1178
1	0.1176
1	0.1145
2	0.114
2	0.1138
12	0.1137
2	0.1135
10	0.1121
2	0.1107
2	0.1106
2	0.1097
12	0.108
4	0.1076
1	0.1075
1	0.1073
3	0.1061
3	0.1056
1	0.1049
1	0.1038
3	0.1036
2	0.1034
3	0.1032
1	0.1028
4	0.1025
4	0.1024
1	0.1015
2	0.1015
1	0.1011
2	0.1009
3	0.1009
3	0.1006
1	0.1
2	0.0998
2	0.0996
7	0.0987
12	0.097
4	0.0969
2	0.0966
1	0.0962
12	0.0952
4	0.095
2	0.0948
4	0.0945
2	0.0943
3	0.0938
3	0.0934
2	0.0932
2	0.0927
12	0.0914
1	0.0897
3	0.0893
12	0.089
1	0.089
3	0.0884
12	0.0881
4	0.088
3	0.0879
2	0.0874
12	0.0859
1	0.0855
1	0.0833
1	0.0812
12	0.081
10	0.0807
12	0.0807
2	0.0806
6	0.0804
3	0.0802
2	0.0794
2	0.0789
2	0.0777
12	0.0759
2	0.073
2	0.0711
1	0.0707
3	0.0704
1	0.0693
12	0.0688
1	0.068
1	0.0665
2	0.0649
3	0.0647
12	0.0639
2	0.0613
1	0.0608
2	0.0607
4	0.0602
1	0.0597
1	0.0592
2	0.0591
4	0.0585
11	0.0583
2	0.0572
4	0.0571
12	0.0563
12	0.0556
12	0.0546
12	0.0543
2	0.054
2	0.0519
1	0.0511
1	0.05
12	0.0497
1	0.0462
4	0.0458
4	0.0457
12	0.0456
10	0.0451
1	0.0427
3	0.0423
1	0.0422
2	0.0422
12	0.0409
12	0.0395
12	0.0394
1	0.0381
1	0.0372
12	0.0364
2	0.0356
3	0.0333
11	0.0327
12	0.0321
4	0.0314
1	0.0311
12	0.0309
10	0.0297
1	0.0279
2	0.0275
1	0.0273
12	0.0271
12	0.0233
2	0.023
12	0.0224
2	0.0222
12	0.0208
2	0.0198
1	0.0188
2	0.0184
4	0.0157
11	0.0156
8	0.0072
11	11.8655
11	10.8036
11	10.5197
11	10.4744
11	10.4206
11	10.4004
11	9.9147
9	9.8713
10	9.7152
9	9.6634
11	9.6302
10	9.5052
11	9.3829
12	9.3296
9	9.1063
9	9.094
11	9.0897
8	8.9651
10	8.8874
9	8.8838
10	8.876
9	8.6989
9	8.4791
9	8.4008
9	8.3443
10	8.228
2	8.2263
8	8.2116
11	8.1521
8	8.1336
8	8.1332
11	8.1253
8	8.1211
8	8.0786
8	8.0647
9	8.05
9	8
9	7.9831
11	7.9423
8	7.9089
9	7.8565
9	7.8438
7	7.8081
11	7.8
9	7.7358
7	7.6918
8	7.5493
7	7.546
8	7.5455
8	7.4851
7	7.4522
8	7.3434
9	7.3403
11	7.2958
9	7.2773
9	7.2457
8	7.2422
9	7.2237
8	7.2215
8	7.1731
9	7.1203
7	7.095
9	7.0947
8	7.0799
11	7.0774
7	7.0615
8	7.0392
8	7.0273
9	6.9819
11	6.9603
8	6.9479
7	6.9463
7	6.918
9	6.8828
8	6.8655
11	6.8544
11	6.8158
9	6.7784
9	6.7357
8	6.7341
7	6.7191
9	6.6869
9	6.5709
9	6.5419
7	6.539
9	6.5106
9	6.4774
7	6.394
7	6.392
9	6.3918
8	6.3739
7	6.3689
7	6.3676
7	6.3447
7	6.3442
8	6.2993
9	6.2773
7	6.2704
6	6.2134
11	6.1789
7	6.1468
8	6.1447
1	6.1386
6	6.1132
7	6.1054
7	6.1018
7	6.0511
7	5.9891
9	5.9416
6	5.8789
7	5.8357
7	5.7744
7	5.7587
7	5.7534
9	5.7512
7	5.7448
8	5.7398
8	5.6928
8	5.6359
9	5.5966
9	5.5824
7	5.5703
7	5.5372
7	5.5022
7	5.4522
6	5.4505
7	5.4503
6	5.3984
6	5.3175
7	5.313
7	5.3015
8	5.2373
8	5.2154
6	5.2051
6	5.1983
6	5.1816
8	5.1564
8	5.1333
6	5.1332
6	5.1328
6	5.1312
6	5.0926
9	5.0863
7	5.0859
8	5.0765
6	5.072
6	4.9456
2	4.8069
6	4.685
6	4.6326
7	4.5526
4	4.5461
5	4.5132
5	4.4491
6	4.4402
6	4.4245
10	4.3298
7	4.2245
6	4.1375
7	4.0077
6	3.9544
10	3.8993
6	3.8921
7	3.8539
9	3.7866
7	3.6782
8	3.5841
6	3.5432
6	3.5407
11	3.5377
6	3.493
6	3.3677
10	3.3474
7	3.3018
7	3.2127
6	3.2008
11	3.1724
6	3.1514
7	3.1343
7	3.1056
6	3.0962
7	3.0758
6	3.0692
5	3.0577
7	3.0409
5	2.9466
7	2.9211
6	2.9071
8	2.9065
8	2.902
6	2.8965
10	2.8672
6	2.8437
7	2.8344
10	2.828
4	2.8229
7	2.7935
7	2.787
5	2.7839
5	2.7711
7	2.7686
10	2.7548
4	2.7387
7	2.7273
5	2.7251
7	2.7076
10	2.7019
6	2.6984
8	2.6953
9	2.6621
4	2.6569
6	2.6483
6	2.6345
6	2.6009
6	2.5895
7	2.5777
7	2.5763
5	2.5321
10	2.4984
6	2.4976
6	2.4955
4	2.4953
5	2.4917
4	2.4906
7	2.478
6	2.4763
6	2.4601
4	2.4528
6	2.4522
9	2.4475
4	2.4073
6	2.3984
4	2.3846
9	2.3827
6	2.3782
11	2.3742
4	2.3645
4	2.3625
5	2.3624
5	2.3578
5	2.3447
6	2.3242
5	2.3231
4	2.3218
1	2.311
6	2.3086
10	2.3085
7	2.3047
4	2.2917
4	2.2888
10	2.2794
2	2.2751
9	2.2742
7	2.2736
6	2.2594
7	2.2491
9	2.238
8	2.2111
6	2.1912
6	2.1726
7	2.169
7	2.1686
8	2.1526
4	2.1248
6	2.1041
5	2.0947
5	2.0845
10	2.0833
6	2.08
5	2.0667
8	2.0643
6	2.0612
5	2.0554
5	2.0485
10	2.0401
5	2.0306
9	2.0305
5	2.0082
9	1.9926
6	1.9837
3	1.9816
9	1.9756
9	1.9244
9	1.916
11	1.9103
9	1.9085
9	1.9068
4	1.9018
9	1.9007
4	1.8888
5	1.8596
5	1.8502
8	1.8322
6	1.8243
4	1.8182
9	1.8095
5	1.8072
7	1.8044
5	1.7994
5	1.7952
9	1.7925
5	1.7857
9	1.7585
9	1.7311
5	1.7278
11	1.7191
5	1.7188
6	1.6979
9	1.6951
10	1.6734
4	1.6631
11	1.6514
8	1.645
9	1.6377
5	1.6106
9	1.5946
3	1.5662
2	1.5612
6	1.5555
11	1.545
6	1.5424
11	1.5331
3	1.5242
8	1.519
5	1.5174
3	1.506
9	1.5055
11	1.5054
8	1.4969
8	1.476
5	1.4748
5	1.473
4	1.4721
12	1.4637
11	1.4465
9	1.4455
1	1.4385
7	1.4383
9	1.4375
9	1.4367
9	1.4204
9	1.4124
5	1.4107
3	1.407
5	1.3994
8	1.3938
11	1.3854
8	1.3794
11	1.3684
11	1.3625
9	1.357
6	1.3457
11	1.3228
3	1.3191
5	1.3018
7	1.2726
4	1.2695
8	1.2689
9	1.2687
1	1.2545
9	1.2413
7	1.2359
3	1.2348
4	1.2204
5	1.1933
5	1.1883
3	1.1803
8	1.1557
7	1.1346
11	1.1332
5	1.125
3	1.1124
3	1.1097
5	1.1
7	1.0995
7	1.0958
5	1.091
3	1.0879
10	1.0764
4	1.0538
7	1.0433
4	1.0409
3	1.0259
3	1.0227
9	1.0056
9	1.0048
11	1.0021
11	1
3	0.9969
5	0.9886
8	0.9792
5	0.9758
2	0.9745
3	0.9741
5	0.9547
7	0.9387
6	0.9356
3	0.9287
4	0.9274
11	0.9184
5	0.8994
3	0.8971
5	0.8768
3	0.8571
10	0.8553
2	0.8534
2	0.8441
8	0.842
7	0.8369
9	0.8263
9	0.8244
11	0.8195
5	0.8095
3	0.7965
4	0.7955
3	0.7752
4	0.7643
11	0.7608
4	0.751
2	0.7396
10	0.7181
8	0.7136
7	0.7125
2	0.7083
5	0.7047
4	0.6364
7	0.6008
4	0.5955
4	0.5761
9	0.5633
5	0.5555
8	0.554
5	0.5498
5	0.5483
7	0.5351
2	0.5132
2	0.5061
7	0.502
4	0.4844
1	0.4828
4	0.4794
11	0.4717
3	0.4716
1	0.4685
7	0.4684
3	0.4664
7	0.4567
1	0.4537
2	0.4526
4	0.452
4	0.45
4	0.4492
4	0.4464
2	0.4446
3	0.4367
1	0.4354
4	0.4353
4	0.435
4	0.4311
1	0.4301
4	0.4154
2	0.4107
4	0.4027
10	0.3939
2	0.385
4	0.3781
3	0.3748
5	0.3722
1	0.3691
4	0.3603
4	0.3601
4	0.36
11	0.357
3	0.349
3	0.3437
4	0.3315
3	0.3302
3	0.3292
5	0.3276
1	0.3273
1	0.3272
1	0.3263
4	0.3262
1	0.3228
3	0.3173
1	0.3159
1	0.315
1	0.3135
4	0.313
1	0.3097
11	0.3086
1	0.3078
5	0.3071
2	0.3046
5	0.3015
3	0.2978
1	0.2967
12	0.2954
4	0.291
1	0.2885
4	0.2865
1	0.2827
1	0.2821
1	0.2814
1	0.2777
2	0.2768
1	0.2747
5	0.2727
4	0.272
1	0.2691
5	0.2668
