ArrivalTime	NegPerChick
23.08	3
23.1	2.4
23.43	2.2
23.65	0
23.65	0
23.7	1.4
23.83	1.2
23.96	1.2
24.11	0
24.13	0
24.2	1
24.41	1
24.56	1.4
24.73	0.4
24.9	6.4
24.93	1.2
25.08	6.4
25.16	1
25.2	1.4
25.2	1.4
25.45	1
25.51	0
25.68	0.6
25.76	1.4
25.8	2.8
26	1.2
26	1.2
26	2.8
26.03	0
26.1	0
26.28	2.6
26.4	2.6
26.55	0
26.63	0.8
26.75	0.8
26.8	0
26.98	0
27.13	2
27.31	2
27.83	1.2
28.03	0.4
28.25	0
28.86	0
22.08	1.2
22.15	1.2
22.61	1.6
22.63	1.6
22.71	1.6
22.78	1.6
22.88	1.4
23.01	3
23.03	1.6
23.1	1.6
23.35	0
23.43	0
23.68	0.2
24.1	1.6
24.35	1
24.48	1
25	1.4
25.05	2
25.26	2.8
25.35	0
25.36	2.8
25.51	0
25.85	0
26.31	0
27.53	0
22.01	1.5
22.06	0
22.26	2.5
22.35	4.5
22.38	4.5
22.48	4.5
22.5	4.5
22.58	2.75
22.7	1.75
22.95	2.75
23.78	2.25
24.05	1.5
24.31	1.5
25.06	0
25.33	0
25.35	0.25
28.2	1.75
22.13	0.16666667
22.43	2.66666667
22.46	2.66666667
22.83	0.33333333
22.85	0.33333333
23.03	4.33333333
23.35	0.16666667
23.55	1.33333333
23.6	1.33333333
23.81	2.16666667
24.01	0.33333333
24.23	2.5
24.43	1.33333333
24.45	0
24.55	1.66666667
24.93	1
24.95	1.16666667
25.8	0.33333333
26	0.33333333
26.01	2.83333333
26.16	1.83333333
26.33	2.16666667
27.1	0.66666667
27.11	0
27.4	1
27.63	4.33333333
22.86	6
23.85	3
26	6
27.96	1
22.51	0.5
22.51	0.5
22.55	3
23.03	0
23.03	0.25
23.3	0.5
23.35	1.5
23.61	0.25
23.66	2.25
23.85	2
24.06	1.5
24.38	0
24.38	0
25.11	1
25.3	0
25.36	0.75
26.16	1.25
26.83	0
27.25	0
27.43	0.25
27.43	2.25
27.71	3
27.91	2
22.05	3.2
22.43	0.2
22.73	2.4
22.9	5
23.2	3.2
23.45	4
23.73	4.6
24.15	0.4
24.36	2.2
24.5	2.2
24.6	0.6
24.93	3.6
25.28	1
25.8	0.2
25.86	0.2
26.1	1.6
27.66	0
27.76	2.2
27.93	2.2
21.71	1.42857143
21.73	1.42857143
21.91	2.42857143
21.93	2.42857143
21.95	2.42857143
21.96	0.85714286
22.18	2.71428571
22.28	0.57142857
22.3	4.42857143
22.5	4.42857143
22.56	1.42857143
22.6	3.28571429
22.6	3.28571429
22.9	2.14285714
23.25	0
23.46	0.85714286
23.53	0.14285714
23.63	0.14285714
24	1.28571429
24.31	0.85714286
24.56	1.14285714
24.73	1.42857143
25.25	0.57142857
25.41	1.57142857
25.56	1.28571429
25.76	2
26.15	1.85714286
26.76	3.14285714
27.23	1
27.25	1
28.45	0.71428571
28.86	2.14285714
29.21	1.42857143
29.23	0
